key,start,end,duration,transfers,daytype,is_return
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 08:19:00+01:00,2025-01-06 08:19:00+01:00,29.0,0,weekday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 09:41:00+01:00,2025-01-06 09:41:00+01:00,31.0,0,weekday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 11:59:00+01:00,2025-01-06 11:59:00+01:00,29.0,0,weekday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 12:17:00+01:00,2025-01-06 12:17:00+01:00,29.0,0,weekday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 11:30:00+01:00,2025-01-06 11:30:00+01:00,29.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 11:48:00+01:00,2025-01-06 11:48:00+01:00,29.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 14:42:00+01:00,2025-01-06 14:42:00+01:00,29.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 15:10:00+01:00,2025-01-06 15:10:00+01:00,34.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 16:00:00+01:00,2025-01-06 16:00:00+01:00,31.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-06 16:45:00+01:00,2025-01-06 16:45:00+01:00,31.0,0,weekday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 08:19:00+01:00,2025-01-04 08:19:00+01:00,29.0,0,saturday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 09:39:00+01:00,2025-01-04 09:39:00+01:00,29.0,0,saturday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 11:59:00+01:00,2025-01-04 11:59:00+01:00,29.0,0,saturday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 12:39:00+01:00,2025-01-04 12:39:00+01:00,29.0,0,saturday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 11:30:00+01:00,2025-01-04 11:30:00+01:00,29.0,0,saturday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 12:10:00+01:00,2025-01-04 12:10:00+01:00,29.0,0,saturday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 15:10:00+01:00,2025-01-04 15:10:00+01:00,29.0,0,saturday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-04 16:45:00+01:00,2025-01-04 16:45:00+01:00,29.0,0,saturday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 08:19:00+01:00,2025-01-05 08:19:00+01:00,29.0,0,sunday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 09:39:00+01:00,2025-01-05 09:39:00+01:00,29.0,0,sunday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 11:59:00+01:00,2025-01-05 11:59:00+01:00,29.0,0,sunday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 12:39:00+01:00,2025-01-05 12:39:00+01:00,29.0,0,sunday,False
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 11:30:00+01:00,2025-01-05 11:30:00+01:00,29.0,0,sunday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 12:10:00+01:00,2025-01-05 12:10:00+01:00,29.0,0,sunday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 15:10:00+01:00,2025-01-05 15:10:00+01:00,29.0,0,sunday,True
"Sion, poste/gare -> Mayens-de-l'Ours, télécabine",2025-01-05 16:45:00+01:00,2025-01-05 16:45:00+01:00,29.0,0,sunday,True
"Sion, poste/gare -> Veysonnaz, station",2025-01-06 08:26:00+01:00,2025-01-06 08:26:00+01:00,36.0,0,weekday,False
