id,resort,town,mean,stop_departure,stop_arrival,duration(min),price(halbtax),company,change,onarrivalwalktime(min),comment,frequency
4vallees_ours,4vallees,veysonnaz,bus,"Sion, poste/gare","Mayens-de-l'Ours, télécabine",29.0,2.5,poste,,2,,0.725
4vallees_veysonnaz,4vallees,veysonnaz,bus,"Sion, poste/gare","Veysonnaz, station",34.0,5.1,poste,,2,,0.945
4vallees_thyon,4vallees,thyon,bus,"Sion, poste/gare",Thyon/Thyon 2000,56.0,8.0,theytaz,,2,,1.2766666666666666
4vallees_lesmasses,4vallees,heremence,bus,"Sion, poste/gare","Les Masses, télésiège",40.0,5.9,theytaz,,1,,0.67
4vallees_nendaz,4vallees,nendaz,bus,"Sion, poste/gare","Haute-Nendaz, télécabine",38.0,5.9,poste,,0,,1.585
4vallees_siviez,4vallees,sivez,,"Sion, poste/gare",Siviez (station aval),,,,,2,,0.8883333333333333
4vallees_tsoumaz_direct,4vallees,tsoumaz,bus,"Riddes, gare","La Tzoumaz, télécabine",33.0,6.4,poste,,1,,0.3866666666666667
4vallees_tsoumaz_iserable,4vallees,tsoumaz,cablecar+bus,Riddes (téléphérique),"La Tzoumaz, télécabine",40.0,6.4,poste,1.0,1,,0.5
4vallees_verbier,4vallees,verbier,train+cablecar,Martigny,Verbier (télécabine),39.0,9.1,cff,1.0,0,,1.335
champex,stbernard,champex,train+bus,Martigny,"Champex, télé",51.0,9.5,cff+poste,2.0,1,,0.4716666666666667
foully,stbernard,lafoully,train+bus,Martigny,La Fouly VS,51.0,10.2,cff+poste,2.0,1,,0.33499999999999996
vicheresliddes,stbernard,vicheres,train+navette,Martigny,"Vichères, Le Chapelet",65.0,10.9,cff+navette,2.0,1,"Not in sbb, because navette is not there",0.0
marecottes,marecottes,marecottes,train,Martigny,Les Marécottes,30.0,4.7,mtblanc,,10,,1.0283333333333333
ovronnaz,ovronnaz,ovronnaz,bus,"Riddes, gare","Ovronnaz, télé/centre sportif",36.0,4.3,poste,,1,,0.4466666666666667
crans,cransmontana,crans,bus,"Sion, poste/gare","Crans-Montana, Le Mèrignou",45.0,6.8,poste,,5,,0.5
montanastation,cransmontana,montana,funi+navette,Sierre/Siders (funi),"Crans-Montana, Ycoor",21.0,6.8,smc,1.0,2,Bus direct also available but slower,1.25
montanaviolettes,cransmontana,montana,funi+navette,Sierre/Siders (funi),"Crans-Montana, télé Violettes",20.0,6.8,smc,1.0,1,,1.42
grimentz,anniviers,grimentz,bus,"Sierre/Siders, gare routière","Grimentz, télécabine",58.0,8.6,poste,1.0,1,,1.17
zinal,anniviers,zinal,bus,"Sierre/Siders, gare routière","Zinal, télécabine",56.0,9.7,poste,1.0,1,,1.17
chandolin,anniviers,chandolin,bus,"Sierre/Siders, gare routière","Chandolin, télésiège",56.0,9.2,poste,1.0,1,,1.17
vercorin,anniviers,vercorin,cablecar,Chalais (station aval)," ""Vercorin (station amont)""",17.0,3.6,vercorin,,10,,0.75
evolene,dentblanche,evolene,bus+navette,"Sion, poste/gare","Evolène, Village",60.0,8.0,poste,1.0,30,There is also a navette mandatory or 30 min walk,0.915
arolla,dentblanche,arolla,bus,"Sion, poste/gare","Arolla, Magine",71.0,11.9,poste,1.0,2,,0.5566666666666668
forclaz,dentblanche,forclaz,bus,"Sion, poste/gare",La Forclaz VS,68.0,10.2,poste,,2,,0.5850000000000001
